Repository Name,Key,JavaVersion,Type,Priority
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1602,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\Addax,S1604,8,CODE_SMELL,MAJOR
D:\Repositories\Addax,S1610,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1610,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1610,8,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1874,9,CODE_SMELL,MINOR
D:\Repositories\Addax,S1948,"6, 7",CODE_SMELL,CRITICAL
D:\Repositories\Addax,S1948,"6, 7",CODE_SMELL,CRITICAL
D:\Repositories\Addax,S3066,5,CODE_SMELL,MINOR
D:\Repositories\Addax,S3078,5,BUG,MAJOR
D:\Repositories\Addax,S3078,5,BUG,MAJOR
D:\Repositories\Addax,S3655,8,BUG,MAJOR
D:\Repositories\Addax,S5164,2,BUG,MAJOR
D:\Repositories\Addax,S5361,4,CODE_SMELL,CRITICAL
D:\Repositories\Addax,S5413,2,CODE_SMELL,MAJOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
D:\Repositories\adempiere,S1155,2,CODE_SMELL,MINOR
