Value;Href;Version;MethodParameter;FullClassPath;ModifiedValue
GUNJALA_GONDI;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#GUNJALA_GONDI;12;[''];.java.base.java.lang.Character.UnicodeBlock;GUNJALA_GONDI
HANIFI_ROHINGYA;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeScript.html#HANIFI_ROHINGYA;12;[''];.java.base.java.lang.Character.UnicodeScript;HANIFI_ROHINGYA
HANIFI_ROHINGYA;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#HANIFI_ROHINGYA;12;[''];.java.base.java.lang.Character.UnicodeBlock;HANIFI_ROHINGYA
hasFullPrivilegeAccess();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/MethodHandles.Lookup.html#hasFullPrivilegeAccess();14;[''];.java.base.java.lang.invoke.MethodHandles.Lookup;hasFullPrivilegeAccess
hasInvokeExactBehavior();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/invoke/VarHandle.html#hasInvokeExactBehavior();16;[''];.java.base.java.lang.invoke.VarHandle;hasInvokeExactBehavior
INCLUSIVE_11;https://docs.oracle.com/en/java/javase/17/docs/api//java.xml.crypto/javax/xml/crypto/dsig/CanonicalizationMethod.html#INCLUSIVE_11;13;[''];.java.xml.crypto.javax.xml.crypto.dsig.CanonicalizationMethod;INCLUSIVE_11
INCLUSIVE_11_WITH_COMMENTS;https://docs.oracle.com/en/java/javase/17/docs/api//java.xml.crypto/javax/xml/crypto/dsig/CanonicalizationMethod.html#INCLUSIVE_11_WITH_COMMENTS;13;[''];.java.xml.crypto.javax.xml.crypto.dsig.CanonicalizationMethod;INCLUSIVE_11_WITH_COMMENTS
incrementExact(int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#incrementExact(int);14;['int'];.java.base.java.lang.StrictMath;incrementExact
incrementExact(long);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/StrictMath.html#incrementExact(long);14;['long'];.java.base.java.lang.StrictMath;incrementExact
indent(int);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/String.html#indent(int);12;['int'];.java.base.java.lang.String;indent
INDIC_SIYAQ_NUMBERS;https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Character.UnicodeBlock.html#INDIC_SIYAQ_NUMBERS;12;[''];.java.base.java.lang.Character.UnicodeBlock;INDIC_SIYAQ_NUMBERS
inputReader();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Process.html#inputReader();17;[''];.java.base.java.lang.Process;inputReader
inputReader(Charset);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Process.html#inputReader(java.nio.charset.Charset);17;['Charset'];.java.base.java.lang.Process;inputReader
interactiveTerminal(boolean);https://docs.oracle.com/en/java/javase/17/docs/api//jdk.jshell/jdk/jshell/tool/JavaShellToolBuilder.html#interactiveTerminal(boolean);17;['boolean'];.jdk.jshell.jdk.jshell.tool.JavaShellToolBuilder;interactiveTerminal
invokeDefault(Object, Method, Object...);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/reflect/InvocationHandler.html#invokeDefault(java.lang.Object,java.lang.reflect.Method,java.lang.Object...);16;['Object', 'Method', 'Object...'];.java.base.java.lang.reflect.InvocationHandler;invokeDefault
isAutomaticModule(ModuleElement);https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/lang/model/util/Elements.html#isAutomaticModule(javax.lang.model.element.ModuleElement);17;['ModuleElement'];.java.compiler.javax.lang.model.util.Elements;isAutomaticModule
isEmpty();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/CharSequence.html#isEmpty();15;[''];.java.base.java.lang.CharSequence;isEmpty
isEmpty();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/nio/CharBuffer.html#isEmpty();15;[''];.java.base.java.nio.CharBuffer;isEmpty
isHidden();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#isHidden();15;[''];.java.base.java.lang.Class;isHidden
isInline();https://docs.oracle.com/en/java/javase/17/docs/api//jdk.compiler/com/sun/source/doctree/ReturnTree.html#isInline();16;[''];.jdk.compiler.com.sun.source.doctree.ReturnTree;isInline
isPreviewEnabled();https://docs.oracle.com/en/java/javase/17/docs/api//java.compiler/javax/annotation/processing/ProcessingEnvironment.html#isPreviewEnabled();13;[''];.java.compiler.javax.annotation.processing.ProcessingEnvironment;isPreviewEnabled
isRecord();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#isRecord();16;[''];.java.base.java.lang.Class;isRecord
isSealed();https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/lang/Class.html#isSealed();17;[''];.java.base.java.lang.Class;isSealed
joinGroup(SocketAddress, NetworkInterface);https://docs.oracle.com/en/java/javase/17/docs/api//java.base/java/net/DatagramSocket.html#joinGroup(java.net.SocketAddress,java.net.NetworkInterface);17;['SocketAddress', 'NetworkInterface'];.java.base.java.net.DatagramSocket;joinGroup
